Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"else if (scenario == ""neg"")",Chrome 80.0.3987.163,,,2020-04-16 21:03:22,2020-04-16 21:03:22,0.027s,PASSED
takeScreenshot(),Chrome 80.0.3987.163,,,2020-04-16 21:03:22,2020-04-16 21:03:23,0.333s,PASSED
delay(1),Chrome 80.0.3987.163,,,2020-04-16 21:03:23,2020-04-16 21:03:24,1.004s,PASSED
,,,,,,,
Test Cases/transaction,Chrome 80.0.3987.163,,,2020-04-16 21:03:24,2020-04-16 21:03:37,13.414s,PASSED
"callTestCase(findTestCase(""login""), [:], STOP_ON_FAILURE)",Chrome 80.0.3987.163,,,2020-04-16 21:03:24,2020-04-16 21:03:35,10.891s,PASSED
comment(note),Chrome 80.0.3987.163,,,2020-04-16 21:03:35,2020-04-16 21:03:35,0.002s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/saucedemo/label_Products""), 3)",Chrome 80.0.3987.163,,,2020-04-16 21:03:35,2020-04-16 21:03:35,0.059s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_ADD TO CART""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:35,2020-04-16 21:03:35,0.056s,PASSED
"itemOnCart = getText(findTestObject(""Object Repository/saucedemo/label_numberOfItem""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:35,2020-04-16 21:03:35,0.051s,PASSED
"verifyNotMatch(itemOnCart, ""0"", false)",Chrome 80.0.3987.163,,,2020-04-16 21:03:35,2020-04-16 21:03:35,0.002s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_cart""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:35,2020-04-16 21:03:35,0.307s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/saucedemo/label_Your Cart""), 3)",Chrome 80.0.3987.163,,,2020-04-16 21:03:35,2020-04-16 21:03:35,0.034s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_checkout""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:35,2020-04-16 21:03:36,0.290s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/saucedemo/label_Checkout Your Information""), 3)",Chrome 80.0.3987.163,,,2020-04-16 21:03:36,2020-04-16 21:03:36,0.019s,PASSED
"setText(findTestObject(""Object Repository/saucedemo/input_firstName""), firstName)",Chrome 80.0.3987.163,,,2020-04-16 21:03:36,2020-04-16 21:03:36,0.097s,PASSED
"setText(findTestObject(""Object Repository/saucedemo/input_lastName""), lastName)",Chrome 80.0.3987.163,,,2020-04-16 21:03:36,2020-04-16 21:03:36,0.085s,PASSED
"setText(findTestObject(""Object Repository/saucedemo/input_postalCode""), postalCode)",Chrome 80.0.3987.163,,,2020-04-16 21:03:36,2020-04-16 21:03:36,0.078s,PASSED
"click(findTestObject(""Object Repository/saucedemo/button_continue""))",Chrome 80.0.3987.163,,,2020-04-16 21:03:36,2020-04-16 21:03:36,0.051s,PASSED
